FP2-A2 ,F8 -A2 ,T4 -A2 ,T6 -A2 ,F4 -A2 ,C4 -A2 ,P4 -A2 ,O2 -A2 ,FP1-A1 ,F7 -A1 ,T3 -A1 ,T5 -A1 ,F3 -A1 ,C3 -A1 ,P3 -A1 ,O1 -A1 ,FZ -A2 ,CZ -A1 ,PZ -A2 ,BP1-REF,BP2-REF
-3,-15,23,23,23,30,42,29,61,2,47,25,38,35,21,7,63,15,4,-153,-64
-8,-14,23,24,24,31,44,30,56,0,41,22,35,31,18,4,60,14,-1,-127,-64
-16,-18,19,22,23,29,41,28,48,-4,31,16,27,24,10,-2,54,10,-11,-107,-65
-25,-22,15,18,22,26,36,25,38,-9,20,9,17,17,3,-8,45,6,-20,-92,-65
-30,-23,15,17,20,26,33,24,28,-15,10,3,8,12,-1,-12,37,0,-29,-80,-64
-31,-18,17,19,20,28,32,25,19,-21,3,0,3,10,-3,-13,31,-4,-35,-67,-61
-29,-11,22,22,19,32,33,27,10,-26,0,-2,0,8,-4,-13,29,-8,-41,-52,-56
-28,-5,25,24,19,34,31,27,1,-31,-4,-5,0,6,-5,-14,27,-10,-49,-33,-52
-30,-4,24,21,17,31,25,24,-6,-35,-8,-10,-1,0,-10,-17,24,-12,-60,-13,-50
-34,-7,19,14,13,23,16,17,-16,-39,-14,-16,-5,-7,-18,-23,17,-14,-72,8,-48
-40,-14,11,5,9,13,7,8,-25,-41,-19,-22,-10,-16,-28,-28,8,-15,-86,31,-47
-45,-19,4,-2,4,3,1,0,-34,-42,-23,-26,-15,-23,-37,-31,0,-15,-99,55,-45
-48,-21,0,-5,0,-2,0,-4,-42,-43,-24,-26,-19,-27,-41,-30,-6,-15,-112,78,-40
-48,-17,-1,-5,-1,-4,2,-5,-48,-42,-23,-24,-19,-27,-42,-26,-9,-14,-123,99,-34
-46,-11,0,-2,-3,-4,6,-4,-53,-40,-22,-21,-19,-25,-40,-22,-10,-13,-133,118,-26
-44,-3,3,2,-4,-1,11,-1,-59,-38,-21,-18,-18,-23,-36,-19,-12,-12,-139,135,-17
-44,2,5,5,-5,-1,13,1,-63,-35,-20,-17,-17,-20,-32,-18,-13,-10,-144,150,-10
-49,0,2,0,-10,-6,6,0,-67,-31,-23,-20,-17,-21,-31,-22,-19,-9,-149,163,-4
-59,-6,-5,-9,-16,-15,-5,-6,-74,-29,-28,-27,-22,-25,-33,-29,-33,-10,-151,174,0
-65,-10,-10,-15,-21,-20,-14,-12,-81,-30,-34,-34,-28,-31,-34,-35,-47,-13,-146,187,4
-65,-7,-10,-14,-23,-18,-15,-13,-87,-32,-36,-39,-33,-36,-33,-37,-55,-17,-136,203,8
-60,0,-5,-8,-20,-11,-11,-9,-91,-34,-38,-41,-36,-40,-32,-36,-57,-20,-122,218,12
-54,7,0,0,-17,-3,-4,-4,-95,-36,-39,-42,-40,-45,-32,-35,-57,-24,-108,231,16
-48,15,6,7,-13,4,3,0,-98,-41,-40,-42,-44,-48,-33,-34,-58,-28,-94,241,19
-46,20,9,11,-11,8,8,1,-102,-46,-42,-40,-48,-51,-34,-34,-61,-33,-81,247,23
-48,23,10,13,-11,9,11,0,-107,-51,-44,-39,-52,-53,-36,-35,-66,-38,-70,251,26
-50,25,11,13,-12,9,12,-2,-112,-57,-47,-36,-56,-54,-38,-34,-72,-43,-58,255,30
-50,29,13,16,-13,10,15,-4,-117,-61,-48,-33,-58,-54,-38,-31,-78,-48,-42,259,34
-50,33,16,18,-12,11,16,-5,-120,-61,-48,-30,-57,-53,-37,-27,-81,-51,-24,263,38
-52,34,17,17,-13,7,11,-7,-122,-58,-48,-30,-54,-53,-38,-25,-84,-50,-7,264,41
-58,27,13,10,-16,-1,0,-11,-124,-54,-50,-35,-53,-55,-41,-27,-89,-49,5,260,44
-66,18,5,1,-20,-12,-14,-17,-128,-52,-53,-41,-54,-58,-46,-31,-98,-50,17,249,47
-71,13,-1,-4,-23,-19,-25,-23,-131,-53,-54,-46,-56,-60,-49,-33,-105,-51,28,235,50
-69,16,-2,-3,-23,-20,-27,-23,-133,-54,-51,-47,-55,-58,-47,-30,-106,-51,38,219,54
-64,24,0,1,-22,-16,-24,-20,-133,-54,-45,-43,-52,-54,-41,-23,-102,-50,45,199,58
-61,30,0,5,-22,-13,-21,-16,-132,-51,-40,-38,-47,-49,-35,-16,-99,-48,45,173,62
-61,30,-2,4,-24,-13,-22,-16,-131,-46,-38,-34,-44,-45,-29,-9,-99,-45,38,139,65
-65,26,-8,0,-27,-17,-26,-18,-131,-41,-38,-33,-44,-43,-25,-5,-103,-43,25,100,67
-69,20,-13,-7,-30,-21,-29,-21,-131,-36,-41,-33,-44,-41,-23,-3,-108,-40,10,57,68
-71,16,-16,-11,-31,-22,-29,-23,-131,-31,-44,-34,-43,-39,-20,-1,-113,-38,-3,14,69
-71,15,-16,-12,-30,-18,-25,-22,-131,-26,-46,-34,-41,-35,-16,0,-116,-35,-15,-24,70
-69,18,-14,-10,-28,-12,-19,-19,-129,-22,-46,-33,-37,-31,-11,3,-116,-32,-25,-58,72
-66,22,-10,-6,-25,-5,-12,-15,-127,-18,-44,-31,-32,-27,-5,6,-116,-28,-33,-85,75
-63,25,-6,-2,-22,0,-5,-10,-126,-13,-42,-29,-27,-23,0,10,-115,-23,-39,-105,78
-59,28,-1,1,-19,6,0,-4,-123,-9,-39,-27,-23,-19,7,15,-113,-19,-43,-118,81
-55,31,4,5,-16,11,7,1,-120,-4,-35,-24,-20,-15,13,21,-110,-15,-45,-125,82
-49,36,11,12,-12,17,16,8,-115,1,-31,-20,-16,-10,19,28,-105,-11,-44,-127,81
-43,38,16,16,-9,20,23,14,-108,7,-26,-15,-11,-3,24,35,-98,-8,-42,-127,77
-45,33,14,14,-10,15,21,14,-101,14,-23,-11,-6,0,26,40,-96,-5,-45,-127,72
-53,19,3,4,-16,1,9,7,-95,17,-25,-11,-4,1,23,40,-101,-3,-53,-129,65
-64,4,-10,-7,-23,-13,-6,-4,-94,16,-29,-14,-7,-1,16,37,-110,-4,-61,-132,61
-71,-6,-21,-16,-29,-25,-19,-15,-94,11,-33,-18,-12,-6,9,32,-120,-6,-67,-134,58
-71,-8,-25,-19,-32,-30,-26,-22,-96,4,-36,-21,-18,-11,3,27,-124,-8,-69,-133,59
-65,-1,-21,-15,-32,-26,-25,-22,-97,-3,-36,-23,-23,-15,0,24,-123,-10,-65,-129,61
-54,13,-10,-4,-29,-16,-18,-18,-96,-11,-33,-23,-25,-18,-1,22,-117,-12,-55,-120,64
-45,26,0,4,-26,-6,-11,-12,-93,-15,-28,-22,-25,-19,-2,19,-109,-14,-44,-109,64
-42,31,6,8,-25,-2,-10,-8,-89,-16,-27,-22,-25,-22,-5,12,-104,-15,-34,-97,62
-47,27,6,4,-26,-4,-16,-7,-86,-15,-28,-23,-26,-25,-11,1,-103,-16,-27,-85,58
-56,17,2,-3,-28,-10,-22,-8,-84,-13,-32,-27,-29,-29,-18,-11,-105,-18,-20,-75,52
-64,8,0,-9,-29,-13,-26,-7,-84,-12,-36,-30,-32,-32,-24,-21,-107,-19,-11,-67,46
-69,3,-1,-11,-30,-13,-25,-5,-84,-12,-39,-32,-36,-32,-27,-29,-108,-21,-1,-63,42
-71,1,-1,-9,-30,-9,-19,-4,-86,-15,-40,-33,-39,-30,-26,-31,-110,-25,9,-62,38
-70,2,-1,-4,-30,-5,-10,-3,-90,-20,-40,-33,-42,-27,-24,-30,-111,-30,18,-62,35
-69,2,-1,0,-31,-1,-1,-4,-93,-26,-39,-33,-46,-26,-20,-27,-111,-36,23,-62,33
-71,0,-3,1,-33,0,1,-7,-96,-32,-39,-33,-49,-27,-18,-23,-110,-42,23,-60,30
-76,-9,-8,-2,-36,-5,-1,-12,-99,-36,-41,-34,-54,-31,-19,-21,-111,-47,17,-58,26
-83,-21,-17,-10,-40,-13,-9,-19,-102,-40,-45,-37,-60,-37,-22,-19,-114,-51,7,-57,21
-90,-30,-24,-17,-44,-20,-17,-26,-104,-45,-48,-39,-66,-42,-24,-17,-116,-53,-2,-54,17
-90,-32,-25,-19,-45,-22,-19,-29,-105,-48,-47,-38,-68,-44,-24,-12,-116,-55,-8,-50,13
-85,-26,-20,-13,-44,-18,-12,-27,-103,-49,-44,-33,-66,-42,-20,-5,-110,-55,-11,-42,11
-77,-15,-10,-4,-42,-12,-1,-21,-98,-47,-37,-26,-60,-38,-15,2,-100,-53,-14,-33,10
-71,-7,-2,2,-41,-7,7,-15,-91,-44,-31,-20,-52,-33,-11,8,-90,-51,-18,-24,10
-68,-4,1,6,-42,-6,11,-12,-86,-41,-29,-17,-47,-31,-10,9,-85,-48,-25,-17,10
-69,-6,1,6,-45,-8,11,-13,-83,-40,-29,-19,-45,-31,-12,5,-84,-46,-34,-11,10
-69,-11,-1,6,-47,-11,8,-15,-82,-41,-32,-22,-46,-33,-15,0,-86,-43,-42,-5,9
-67,-14,-5,6,-48,-12,6,-17,-81,-42,-34,-25,-48,-35,-19,-4,-89,-39,-49,4,9
-63,-15,-9,7,-46,-12,7,-16,-78,-43,-35,-27,-48,-35,-21,-7,-90,-36,-55,20,8
-58,-13,-11,9,-42,-11,9,-14,-73,-42,-33,-26,-45,-34,-21,-7,-86,-32,-62,43,8
-53,-11,-13,10,-38,-10,12,-11,-66,-39,-31,-24,-40,-31,-20,-6,-80,-27,-68,70,8
-51,-10,-15,9,-34,-10,13,-9,-60,-36,-30,-22,-35,-28,-19,-4,-75,-23,-75,96,8
-51,-12,-18,5,-30,-12,10,-9,-54,-31,-29,-20,-31,-25,-18,-3,-74,-18,-81,118,8
-51,-15,-22,0,-26,-13,5,-10,-51,-25,-30,-19,-29,-22,-15,0,-75,-13,-83,134,7
-49,-17,-23,-1,-22,-12,1,-12,-47,-19,-29,-16,-27,-17,-11,3,-75,-7,-81,143,6
-44,-16,-22,-1,-16,-9,0,-11,-43,-13,-27,-13,-24,-12,-6,9,-73,0,-76,147,6
-37,-12,-20,0,-11,-6,-1,-8,-38,-6,-23,-9,-18,-6,0,15,-66,5,-69,146,6
-31,-8,-16,-1,-5,-5,-1,-3,-30,0,-17,-4,-9,0,6,19,-54,12,-65,140,5
-27,-4,-13,-3,-1,-5,-3,0,-22,6,-12,0,0,4,11,21,-42,17,-62,126,3
-25,-3,-11,-7,2,-8,-5,3,-15,9,-8,1,6,8,15,21,-32,20,-61,104,2
-24,-3,-10,-11,5,-11,-8,2,-10,9,-6,3,10,10,17,18,-27,21,-60,74,0
-22,-2,-8,-12,8,-13,-6,0,-7,6,-4,6,11,11,19,17,-25,19,-57,39,0
-18,0,-7,-11,10,-14,-1,-3,-4,3,-3,10,11,13,22,17,-25,17,-52,2,0
-14,2,-6,-8,12,-16,6,-5,0,2,-1,14,11,15,25,18,-23,15,-48,-32,0
-11,3,-7,-5,12,-20,15,-6,5,4,2,17,14,18,29,19,-20,15,-45,-62,0
-11,1,-10,-6,9,-27,20,-7,11,9,6,18,19,20,30,17,-17,17,-48,-88,0
-15,-5,-15,-10,3,-37,19,-9,18,16,9,16,22,20,29,12,-15,20,-54,-109,0
-21,-12,-20,-14,-4,-46,14,-13,21,22,11,12,23,19,25,5,-16,22,-62,-125,1
-24,-17,-22,-15,-11,-51,10,-17,22,24,11,9,21,16,21,0,-19,22,-70,-137,1
-24,-16,-19,-13,-15,-51,10,-19,19,20,11,8,15,12,16,-2,-22,19,-74,-143,2
-21,-12,-14,-8,-17,-46,14,-20,15,12,11,9,9,9,12,-1,-24,14,-77,-142,2
-18,-8,-8,-4,-18,-41,18,-20,10,4,10,9,3,6,8,0,-27,9,-81,-132,3
-19,-6,-5,-6,-19,-40,20,-20,6,-4,8,8,-2,2,3,-1,-29,3,-88,-104,3
-23,-9,-7,-12,-20,-42,17,-21,2,-11,5,5,-7,-1,-3,-4,-33,-2,-97,-45,1
-28,-14,-12,-22,-21,-47,9,-23,0,-18,0,0,-13,-7,-12,-11,-37,-7,-107,61,0
-32,-19,-18,-31,-20,-53,0,-26,-5,-25,-7,-6,-21,-15,-21,-18,-41,-13,-115,230,-3
-31,-18,-23,-34,-17,-55,-5,-28,-10,-34,-13,-11,-30,-21,-29,-24,-41,-19,-119,466,-6
-24,-13,-25,-32,-12,-53,-6,-28,-15,-44,-18,-13,-37,-26,-33,-27,-37,-25,-118,752,-10
-14,-4,-25,-26,-7,-49,-3,-25,-19,-51,-21,-14,-41,-29,-35,-27,-29,-30,-114,1045,-13
-4,2,-25,-20,-4,-44,-1,-23,-22,-55,-24,-14,-42,-31,-34,-27,-21,-34,-110,1286,-14
0,6,-27,-16,-4,-43,-1,-21,-24,-53,-26,-14,-41,-30,-32,-26,-17,-35,-109,1413,-12
-1,4,-31,-18,-8,-46,-7,-23,-24,-47,-27,-14,-38,-29,-29,-25,-17,-33,-110,1386,-7
-7,-2,-36,-23,-15,-52,-16,-28,-23,-37,-27,-14,-34,-27,-25,-25,-21,-29,-115,1194,0
-14,-8,-40,-29,-23,-57,-24,-33,-20,-26,-24,-11,-28,-21,-17,-22,-28,-23,-118,871,8
-18,-11,-40,-30,-28,-58,-28,-34,-16,-14,-17,-6,-20,-13,-6,-17,-32,-15,-118,477,17
-17,-9,-35,-28,-30,-55,-27,-32,-10,-2,-7,0,-10,-2,6,-10,-32,-6,-115,84,25
-15,-6,-30,-26,-29,-50,-24,-27,-3,8,1,5,0,7,18,-4,-29,3,-108,-251,31
-14,-5,-27,-25,-28,-45,-22,-24,1,15,6,8,6,15,26,-1,-26,10,-99,-496,35
-16,-9,-28,-29,-28,-44,-23,-23,4,19,8,7,9,20,30,0,-27,15,-89,-645,37
-21,-18,-35,-37,-30,-47,-27,-27,4,21,7,5,8,21,30,-2,-31,17,-76,-711,37
-27,-28,-44,-46,-34,-49,-33,-32,3,20,4,2,5,21,28,-4,-39,18,-60,-719,37
-32,-35,-52,-52,-38,-51,-36,-36,3,19,2,0,2,21,26,-5,-46,18,-39,-693,36
-35,-38,-58,-54,-41,-50,-35,-36,5,18,3,-1,2,23,26,-5,-48,18,-13,-651,34
-36,-37,-60,-53,-42,-47,-33,-33,9,20,5,-1,5,25,25,-5,-45,20,13,-603,32
-36,-34,-60,-52,-42,-46,-32,-30,15,24,8,-1,9,27,25,-6,-40,22,42,-556,30
-36,-31,-60,-51,-41,-46,-32,-27,20,27,10,-3,12,27,23,-8,-36,23,71,-512,27
-35,-29,-60,-51,-39,-46,-33,-27,23,30,11,-5,13,25,21,-12,-36,24,102,-473,24
-32,-24,-58,-49,-36,-43,-33,-27,23,30,12,-6,12,23,19,-15,-37,24,134,-438,22
-26,-17,-53,-44,-31,-38,-31,-27,22,29,14,-5,11,22,18,-16,-38,23,166,-405,20
-18,-7,-47,-38,-27,-31,-27,-25,21,28,16,-3,11,24,19,-16,-35,21,196,-375,20
-12,0,-41,-33,-22,-26,-26,-21,22,28,18,-1,12,26,21,-16,-31,21,220,-346,20
-10,2,-40,-31,-20,-26,-29,-18,23,29,18,0,14,27,22,-16,-25,21,235,-317,21
-12,0,-42,-33,-20,-30,-35,-18,25,30,17,0,14,27,22,-18,-22,22,242,-286,20
-16,-3,-46,-35,-21,-36,-41,-19,26,30,16,-1,13,27,22,-19,-21,23,244,-255,19
-19,-6,-49,-35,-21,-39,-44,-21,25,29,15,-1,11,28,22,-19,-22,23,245,-224,17
-19,-6,-48,-31,-21,-37,-40,-23,24,27,15,0,7,28,22,-18,-24,23,247,-195,15
-16,-3,-44,-24,-20,-31,-32,-23,21,23,16,2,5,30,24,-15,-24,21,250,-170,13
-12,0,-39,-16,-17,-24,-22,-21,20,20,17,4,3,30,26,-12,-21,19,251,-147,11
-9,2,-33,-10,-14,-17,-14,-17,21,19,17,4,3,29,27,-11,-16,18,248,-127,10
-8,0,-30,-10,-11,-13,-11,-13,23,20,15,1,2,26,25,-12,-10,17,239,-109,10
-9,-2,-28,-12,-8,-11,-13,-9,25,22,12,-3,1,21,22,-13,-5,17,224,-90,10
-9,-6,-26,-15,-6,-10,-14,-6,27,24,8,-8,0,17,18,-15,-2,18,206,-72,10
-7,-7,-23,-17,-3,-8,-15,-4,28,26,5,-12,0,13,14,-17,0,19,187,-52,10
-4,-8,-21,-18,0,-4,-14,-3,28,26,2,-16,-2,11,10,-18,1,20,169,-33,9
0,-6,-18,-15,1,0,-10,-3,26,23,0,-17,-4,9,8,-18,2,20,152,-12,8
5,-2,-16,-11,4,6,-6,-1,25,21,-1,-18,-5,8,8,-19,5,21,138,10,7
10,1,-14,-5,6,10,-2,1,25,20,-2,-19,-5,7,9,-19,10,22,124,35,6
13,3,-13,-1,8,12,-2,4,27,20,-2,-20,-3,6,10,-21,14,25,111,60,6
15,5,-14,0,9,12,-4,5,29,21,-3,-21,0,6,12,-23,18,28,96,82,5
15,6,-14,1,9,10,-7,7,31,22,-3,-21,4,6,13,-26,21,31,81,102,4
15,7,-13,1,9,8,-11,8,34,22,-2,-20,10,9,16,-28,24,34,66,120,2
15,7,-12,1,10,6,-15,9,38,21,-1,-16,16,12,18,-29,27,37,51,136,0
15,8,-9,1,12,4,-17,10,42,19,1,-11,22,15,20,-29,31,38,37,153,-1
15,10,-6,3,16,4,-16,13,44,16,4,-6,27,18,21,-28,35,38,25,171,-3
15,12,-3,4,20,5,-14,15,45,12,7,-2,29,19,20,-27,39,37,12,189,-5
14,12,-1,4,23,5,-11,14,44,6,8,0,28,17,17,-27,40,34,0,206,-8
13,10,0,4,24,6,-7,12,41,0,8,0,24,13,12,-27,37,29,-12,221,-11
11,8,0,6,24,8,-3,10,37,-6,7,0,18,9,8,-26,34,23,-24,234,-14
8,5,0,7,23,10,1,9,34,-11,6,1,14,5,5,-25,30,17,-37,245,-16
2,0,0,6,20,12,2,10,31,-14,5,3,11,3,3,-24,26,12,-47,254,-18
-4,-6,-2,3,16,12,2,11,29,-15,4,4,9,0,2,-23,21,8,-54,260,-18
-11,-12,-5,0,12,12,1,11,26,-16,4,4,7,-1,1,-23,13,3,-55,264,-16
-16,-16,-7,-1,8,13,2,11,21,-18,3,4,4,-3,1,-23,6,0,-48,268,-14
-16,-15,-7,0,7,16,8,12,15,-20,3,4,0,-3,3,-22,0,-6,-33,272,-12
-10,-8,-2,6,7,23,18,14,10,-22,4,4,-2,-3,6,-22,-2,-11,-11,277,-10
-3,1,3,14,9,31,28,16,8,-21,5,4,-4,-3,10,-22,-2,-15,14,281,-9
1,8,7,18,11,34,33,18,8,-18,6,3,-4,-3,12,-25,0,-17,38,282,-10
3,10,8,17,13,33,30,19,12,-12,5,0,-1,-3,11,-30,3,-16,58,276,-13
2,8,5,10,14,28,20,18,17,-5,3,-3,2,-4,9,-37,5,-11,75,264,-15
0,2,1,1,14,20,5,14,23,2,1,-7,6,-5,5,-44,6,-5,89,244,-15
-2,-2,-2,-6,14,13,-10,10,28,7,-1,-9,8,-6,1,-49,5,0,98,219,-14
-2,-4,-4,-11,14,9,-21,5,31,8,-2,-8,8,-7,-1,-53,3,2,106,190,-12
0,-3,-5,-13,15,8,-28,2,32,6,-4,-7,7,-7,-1,-53,2,2,109,158,-9
3,0,-5,-12,15,8,-31,0,31,4,-4,-5,7,-8,0,-51,3,0,106,125,-6
6,0,-7,-13,14,6,-33,0,31,3,-3,-3,8,-8,1,-47,6,0,94,91,-4
5,0,-10,-16,12,2,-36,0,31,4,-1,-2,11,-8,2,-43,10,3,73,55,-4
2,-4,-16,-21,8,-4,-40,-1,30,7,0,-2,14,-8,2,-39,12,7,44,18,-5
0,-9,-21,-26,4,-9,-43,-5,28,9,2,-2,17,-8,2,-36,12,12,13,-17,-6
0,-10,-23,-26,2,-11,-41,-8,25,10,5,0,18,-6,3,-31,12,15,-16,-51,-6
4,-4,-18,-21,3,-6,-32,-9,23,11,11,5,18,-3,7,-24,14,17,-43,-79,-6
11,3,-11,-12,5,2,-20,-6,21,11,16,11,19,1,12,-17,18,15,-66,-102,-4
16,10,-4,-4,6,11,-9,-2,21,11,19,15,18,4,17,-11,22,12,-87,-118,-3
16,12,-1,0,6,16,-3,0,21,12,18,16,16,4,19,-8,24,9,-107,-129,-1
13,9,-2,-1,5,18,-2,1,20,14,14,14,12,3,19,-9,22,6,-124,-136,0
6,1,-7,-5,1,17,-3,2,18,15,8,9,8,2,17,-12,16,3,-136,-139,0
0,-5,-12,-10,-1,17,-5,3,18,17,4,4,5,3,18,-16,11,3,-140,-139,1
-4,-8,-14,-11,-4,21,-3,5,19,19,3,3,6,7,22,-16,7,4,-137,-137,3
-7,-6,-14,-9,-5,26,0,8,24,22,6,6,12,16,30,-14,7,9,-127,-133,6
-8,-3,-13,-7,-7,32,2,11,30,26,12,11,20,26,39,-11,11,16,-115,-128,9
-9,0,-13,-6,-7,34,0,13,37,30,17,15,29,34,47,-10,16,23,-101,-123,11
-10,0,-15,-9,-8,30,-7,12,43,35,21,17,35,38,50,-13,21,29,-87,-118,12
-11,0,-19,-14,-8,23,-19,8,46,38,21,16,37,38,49,-18,23,34,-73,-114,13
-11,-2,-23,-20,-7,13,-34,4,47,41,19,14,36,37,44,-23,23,36,-58,-109,13
-7,-1,-23,-23,-5,6,-45,0,47,42,17,13,34,35,39,-27,23,37,-43,-102,13
-1,2,-20,-21,-1,2,-50,0,47,42,16,14,33,34,35,-28,25,36,-28,-92,15
5,8,-16,-16,2,1,-51,2,48,41,16,17,32,33,33,-26,28,35,-15,-78,16
11,14,-11,-11,6,1,-49,6,50,40,17,20,33,32,31,-22,31,34,-5,-64,17
15,18,-8,-5,9,1,-44,8,51,39,16,22,32,30,28,-19,33,31,1,-51,18
17,20,-8,-2,10,0,-38,9,49,37,12,21,30,25,25,-15,32,27,8,-41,17
18,20,-8,0,10,1,-29,7,44,33,7,19,26,21,21,-11,29,22,15,-33,17
18,20,-9,4,9,5,-17,4,37,28,2,17,21,16,18,-6,24,16,23,-28,18
18,20,-8,9,7,11,-2,1,27,22,0,15,15,13,16,-1,19,10,30,-24,20
17,19,-6,15,4,18,12,1,19,16,-2,11,9,10,14,3,16,4,36,-21,23
12,17,-6,18,0,24,24,2,13,12,-3,6,5,7,12,5,14,0,37,-19,26
4,11,-8,18,-3,25,30,3,10,9,-4,0,2,4,9,4,13,-1,36,-18,27
-6,5,-13,16,-7,23,31,2,8,6,-6,-6,0,1,5,1,10,-3,33,-16,26
-14,-1,-18,12,-10,19,28,0,7,5,-10,-12,-2,0,4,-1,5,-5,31,-13,24
-19,-5,-23,10,-12,16,22,-3,6,2,-14,-15,-5,-1,4,-4,0,-6,33,-9,21
-19,-5,-25,9,-12,15,16,-7,4,1,-17,-15,-6,0,7,-7,-4,-6,37,-3,19
-16,-3,-25,8,-9,15,9,-8,3,1,-18,-13,-5,3,12,-9,-6,-4,44,4,17
-11,-1,-23,5,-5,15,0,-6,4,4,-17,-12,-1,6,16,-13,-6,1,50,12,16
-8,-1,-23,-1,0,12,-10,-2,7,11,-14,-12,3,9,18,-18,-2,8,54,21,16
-7,-3,-23,-11,4,8,-25,1,12,19,-12,-14,10,12,19,-26,2,17,57,32,15
-5,-5,-22,-21,10,3,-38,6,17,27,-11,-16,16,15,19,-34,8,25,60,47,14
0,-2,-19,-26,16,3,-46,12,23,32,-10,-17,22,20,17,-40,15,31,65,65,13
10,5,-12,-24,23,7,-46,18,27,32,-9,-16,26,24,17,-45,24,34,72,87,10
23,18,-3,-16,31,14,-41,25,31,31,-7,-13,29,29,16,-47,34,34,80,110,8
35,30,2,-6,38,21,-33,30,33,29,-4,-9,30,31,15,-48,43,34,84,131,5
42,38,5,0,42,24,-27,33,35,28,-2,-6,31,31,12,-49,49,33,83,148,2
43,38,1,2,43,22,-26,33,34,28,-1,-5,29,28,8,-51,51,33,75,159,1
37,30,-6,0,40,15,-30,28,30,26,-3,-7,23,21,1,-53,48,31,62,161,1
29,21,-15,-6,35,8,-34,21,25,20,-8,-11,14,13,-6,-56,41,26,48,154,2
23,14,-20,-7,30,5,-32,15,17,10,-14,-13,3,4,-13,-56,33,18,37,137,5
21,13,-20,-2,27,8,-24,11,9,-2,-19,-14,-7,-3,-19,-54,27,8,29,111,8
22,15,-16,6,24,13,-11,9,2,-17,-24,-14,-19,-11,-25,-51,21,-3,25,77,10
22,17,-12,16,21,19,3,9,-4,-30,-29,-14,-30,-20,-31,-48,17,-15,20,39,11
19,15,-10,22,16,22,14,6,-11,-41,-35,-15,-42,-31,-38,-47,12,-26,13,0,11
12,9,-13,23,10,20,19,1,-17,-49,-42,-19,-52,-42,-45,-47,5,-36,5,-36,9
3,0,-18,19,3,15,17,-5,-22,-54,-49,-25,-61,-53,-52,-48,-2,-44,-3,-69,7
-3,-8,-22,14,-1,9,14,-13,-25,-57,-55,-30,-66,-61,-55,-49,-8,-50,-8,-94,4
-5,-10,-23,12,-5,6,10,-17,-27,-57,-56,-31,-67,-62,-54,-47,-9,-55,-9,-112,1
-3,-7,-20,12,-5,6,8,-16,-25,-54,-54,-29,-62,-58,-48,-45,-4,-55,-6,-123,0
1,0,-15,14,-4,7,6,-12,-23,-50,-48,-25,-54,-50,-40,-44,4,-54,0,-130,0
6,6,-12,14,-3,7,1,-7,-20,-45,-42,-22,-45,-41,-33,-46,14,-50,7,-133,1
9,10,-11,13,-3,6,-6,-3,-18,-42,-37,-20,-38,-34,-29,-52,21,-46,14,-133,2
12,13,-12,10,-2,3,-15,-3,-17,-41,-35,-20,-35,-30,-29,-61,24,-44,21,-122,1
14,14,-14,7,0,1,-23,-4,-17,-43,-33,-21,-34,-29,-32,-71,25,-42,27,-88,0
17,15,-16,5,2,0,-30,-7,-15,-45,-32,-22,-32,-28,-35,-79,24,-41,32,-12,-4
19,16,-17,3,6,-2,-35,-9,-13,-48,-30,-22,-30,-29,-37,-85,25,-41,35,119,-10
20,15,-19,0,9,-5,-39,-10,-12,-49,-29,-23,-28,-31,-39,-89,28,-42,35,316,-17
19,12,-21,-4,12,-8,-43,-11,-14,-51,-30,-26,-29,-36,-43,-93,30,-44,34,572,-25
17,8,-24,-8,14,-11,-46,-11,-18,-53,-32,-31,-33,-42,-48,-96,31,-47,31,859,-33
13,5,-25,-9,16,-12,-45,-10,-23,-54,-35,-37,-40,-49,-54,-97,31,-51,27,1126,-39
10,3,-23,-6,17,-8,-37,-8,-27,-54,-37,-41,-46,-55,-57,-94,30,-55,24,1313,-43
8,6,-17,2,17,-1,-23,-5,-26,-50,-37,-40,-48,-57,-56,-84,30,-57,21,1367,-42
3,7,-10,12,15,6,-6,-3,-20,-41,-32,-34,-44,-55,-49,-68,28,-55,14,1261,-38
-7,2,-7,18,8,7,4,-6,-10,-29,-26,-25,-37,-51,-40,-49,21,-50,0,1001,-29
-23,-8,-10,18,-2,4,10,-14,-1,-17,-20,-17,-31,-47,-32,-30,7,-44,-16,636,-20
-37,-18,-14,17,-13,0,15,-23,3,-8,-16,-9,-27,-42,-24,-11,-8,-39,-33,235,-9
-46,-24,-17,17,-22,-1,21,-30,5,-3,-11,-2,-24,-37,-16,6,-21,-34,-47,-129,0
-48,-23,-16,19,-27,1,29,-32,6,0,-6,4,-21,-31,-9,21,-27,-29,-55,-410,7
-43,-14,-12,25,-28,9,39,-28,7,1,0,11,-16,-22,0,33,-26,-25,-57,-591,11
-32,0,-5,32,-25,18,49,-20,9,4,7,19,-8,-11,9,43,-19,-20,-55,-680,13
-21,11,0,35,-22,24,52,-13,13,7,15,26,0,-1,19,47,-11,-15,-54,-703,13
-16,16,0,32,-19,23,46,-10,18,12,21,29,8,6,25,44,-7,-10,-53,-687,12
-15,14,-5,22,-17,16,32,-12,23,18,23,29,13,11,28,34,-9,-6,-53,-652,9
-17,8,-12,8,-16,8,14,-14,26,25,23,25,16,14,29,20,-12,-1,-52,-610,6
-18,4,-16,-3,-14,0,-2,-15,29,31,23,22,18,18,31,5,-14,2,-46,-568,3
