FP2-A2 ,F8 -A2 ,T4 -A2 ,T6 -A2 ,F4 -A2 ,C4 -A2 ,P4 -A2 ,O2 -A2 ,FP1-A1 ,F7 -A1 ,T3 -A1 ,T5 -A1 ,F3 -A1 ,C3 -A1 ,P3 -A1 ,O1 -A1 ,FZ -A2 ,CZ -A1 ,PZ -A2 ,BP1-REF,BP2-REF
48,11,55,18,25,-26,4,-3,6,-13,22,14,11,-11,-23,49,22,0,-22,-92,-1
39,0,46,9,22,-32,-6,-8,2,-17,16,9,3,-18,-31,38,14,-3,-29,-91,-4
35,-3,41,6,21,-32,-8,-10,-1,-20,11,6,-2,-22,-35,32,10,-6,-32,-89,-7
37,0,42,10,21,-24,0,-7,-5,-23,9,5,-6,-24,-35,31,10,-10,-29,-83,-7
44,9,47,19,24,-13,12,-3,-9,-26,9,7,-9,-23,-31,34,11,-13,-23,-76,-6
51,18,54,29,26,-1,26,2,-11,-28,11,10,-9,-21,-25,38,13,-16,-17,-70,-2
53,21,57,34,26,4,34,5,-11,-28,12,12,-9,-19,-20,40,13,-19,-15,-65,0
50,18,55,33,23,3,36,5,-10,-28,13,12,-8,-17,-18,39,12,-20,-17,-61,2
42,11,50,29,20,-2,33,3,-9,-27,13,12,-7,-16,-17,36,9,-20,-21,-54,2
35,3,44,24,17,-8,30,0,-9,-27,13,13,-6,-16,-18,33,8,-20,-25,-43,1
32,-1,40,23,15,-12,27,-2,-10,-29,13,15,-5,-15,-20,31,7,-19,-25,-27,0
32,-2,39,24,16,-13,27,-2,-11,-31,14,17,-5,-13,-20,32,8,-19,-21,-8,-3
35,0,41,26,17,-11,27,0,-13,-33,16,19,-4,-9,-18,34,10,-17,-14,11,-6
39,3,45,28,20,-8,27,2,-13,-32,18,21,-2,-4,-15,37,13,-13,-6,30,-9
42,7,48,27,22,-6,25,7,-10,-27,20,22,1,0,-11,40,17,-6,0,44,-12
42,8,49,22,24,-7,19,13,-5,-18,21,22,9,5,-7,41,22,3,4,54,-14
40,5,46,14,25,-10,12,16,0,-7,22,21,16,8,-6,40,26,14,7,57,-16
